,replyContent,score,content,thumbsUpCount
188,"Oh no! Sorry to hear this, Peng Seng! Could you please drop us an email at help@gxs.com.sg with your contact info, OS version and a screen recording of your issue so that we can look into it? Do allow us to try and make things right for you. 🙏",5,You app downloading alway show technical priblem why??,0
189,"Hi Kelvin, we are sorry for this experience. We’re eager to make things right. Kindly drop us an email at help@gxs.com.sg with your contact info, OS version and a screen recording of your issue so we can look into it. 🙏",1,After setting up the account today. Login to GxS screen become unresponsive. Phone Samsung S22 ultra.,2
190,"Hey Jerry, that's not the experience we want you to have. Please drop us an email with your contact details and a video recording/screenshot at help@gxs.com.sg, and we'll get to work on this! 🙏",1,Crash upon login into a newly created account. Reinstall and still the same. I'm on Android 13 phone.,3
191,"Hey S K, this is not the experience we want you to have. Do update to the latest version of the GXS app for the best experience possible. If the app is still misbehaving, drop us an email with your contact details and a video recording/screenshot at help@gxs.com.sg, and we'll take a closer look! 🙏",1,Terrible implementation of Singpass. Sign up keeps redirecting to Singpass,4
192,"Hi Ummageswary, thanks for reaching out. You can apply for a GXS FlexiLoan if you are aged between 21 and 65 years old, a Singapore Citizen or Singapore PR and with a minimum annual income of S$20,000. We're sorry that we couldn't offer you a GXS FlexiLoan at this point in time. You may wish to reapply for the FlexiLoan after 30 days. 🙏",1,"What is the criteria to approve the loan? Each time my hubby and I tried to apply loan multiple time, it get rejected. I wonder how much do we need to earn every month to get the loan approved!! If you have some rules and criteria then state it out so people won't waste time applying.",1
193,"We're sorry for the hassle you've encountered. While we'd love to swoop in and fix everything right away, it seems like we need a closer look at the mischievous error you're facing. Please drop us an email at help@gxs.com.sg with your contact info, device model, and a screen recording of your issue so we can take a closer look into this, pronto! 🙏",1,Worst apps everything also no resolve well,0
194,"Hi Wan Shah. We are sorry for this experience. 🙏 Do update to the latest version of the GXS app to ensure the best user experience possible. If the issue still persists, drop us an email at help@gxs.com.sg with your contact info, device model, and a screen recording of your issue. We'll get on top of this right away and sort it out! 💜",1,Waste of time app!! Keep on crashing when want to register. ZERO stars !!!,0
195,Hi Tegindarjeet. We’re unable to delete your personal data from our records at this time due to legal requirements which continue to apply even after you have closed your GXS Savings Account with us. Rest assured that retention of all customers’ personal data complies with applicable laws. You may refer to our Data Privacy Policy. Thank you🙏,3,How to cancel or delete all my personal detail submit on GXS app thru Singpass?,3
196,We're glad you like it! 😉 We're determined to make banking simpler and your testimony definitely motivates us to achieve greater heights. Thank you so much for your 5-star review! 💜,5,"Sleek, simple to use.",0
197,"Hi Dan, thanks for reaching out. If you are referring to our GXS FlexiLoan, please be assured that
all applications go through an evaluation process which is aligned with our internal requirements. This process includes an assessment of your credit profile and eligibility. You may wish to re-apply for the FlexiLoan after 30 days.🙏",1,"After signed up and asked for my info,straight away got rejected!",1
198,"Hi Eric, we apologise for the inconvenience you faced.  We'd love to help, but we recommend sending an email to help@gxs.com.sg with a full screenshot of the error you are facing when you tried to download so that we can take a closer look. 👀 This will help us understand the situation better and provide you with the best assistance. Thank you. 🙏",1,Have been downloading this app for past few days. After download it kept showing me oops unexpected errors......,1
199," Hi Eugene! Were thrilled to know that you like our app and our promotions! Rest assured, were continuously working hard to enhance our features to improve your experience. We cant wait for you to try them out in the future. Thank you for your support! 🙏😊, modified: 2024-03-08T02:53:35Z",4,App can have more features! : Great banking app with attractive interest rates! Please allow us to add and/or save payees so we don’t have to keep typing out UEN numbers or account numbers. Would be nice to be able to add the debit card to Apple Pay too!!,0
200," Hi Dfdsa132! Were delighted that you love our Saving Pockets features, our high interest rates offering and app design! 💜 We strive to improve our app and products to serve you better.🙏Thank you so much for your 5-star review, it made our day! 🙌, modified: 2022-11-10T12:12:09Z",5,"A big bang! : A bank like no other, no bank have such amazing feature to separate your money into different “pockets” to keep track of your goals. Moreover the interest rate they give is the highest for the no effort! Interest are being deposit daily and it’s amazing to see 💵 coming in to the bank daily! 

The user interfaces is so intuitive that every button can be found with your eyes close, that makes money transfer so much smoother. Also the colours is so slick that I want to turn the app on everyday just to look at it and see the daily interest

Lots of potential for the product and I can’t wait to see more of it.",0
201," Hi there! We’re sorry to make you feel that way, and we’ll definitely take this in as a feedback. Rest assured that we’re constantly working hard to improve the experience for all our customers, and would be delighted to be given the chance to serve you again in the future! 🙏 \r, modified: 2023-09-11T01:19:06Z",1,"Unreasonable drop in interest rate : Notice that the drop in interest rate of 0.8% in saving accounts. GXS just come out with a reason to say many consumers want a increase in interest rate in main accounts as most of their funds are there to get the 1.2x points for dash and grab spending. Hence they decrease the interest rate to 2.68% in saving account and increase to 2.38% in main account .

The thing is GXS can increase the main account interest and maintain the interest rate in saving account. They will attract more consumer in this case. However, they use this opportunity to decease the interest rate in saving account instead and use the consumer as an excuse for the decrease.

I am very disappointed in GXS and have close my account in GXS. There are other banks offering a higher interest rate such as OCBC and UOB for saving accounts. No point sticking to GXS.",0
202," Hi Kenny, thank you for alerting us to this issue. This is not the experience we want you to have. We are sorry for the inconvenience caused and eager to make things right for you. 🙏 For us to take a closer look at it, please reach out to us directly via our in-app live chat or drop us an email at help@gxs.com.sg. 👀, modified: 2023-06-28T09:08:48Z",2,"Unable to transfer funds back to myself : Sending money into my GXS account is a breeze and instantaneous - regardless of the amounts. I’m able to immediately see that my funds are in GXS. 

Transferring money OUT is a huge issue. Since June I’ve had problems transferring amounts higher than $500 back to my other banking accounts, each time a red banner will pop up and said something went wrong please try again later. TODAY I can’t transfer more than $1000 back to myself - even the $1000 had to be transferred in TWO transactions of $500 each. Customer service officers did their best to help each time but it’s annoying that the advice provided (killing the app, re-logging in with SingPass) still don’t work.",0
203," Hi Mephosis, we are happy that you like our app! This review made our day! 🤩\nWe’re also excited to have you on board! 🚀 \n, modified: 2022-10-04T05:49:50Z",5,"Potentially the best UI/UX among all the new digibanks : I have to say that the UI/UX is one of the best one I’ll have seen for any Digibank mobile app and finally a strong market player that focuses on customer experience and design, which is critical as most banking products doesn’t differ much for any banks out there. Please make it available asap can’t wait to see what you have to offer!",0
204," Hi Mech20101, we hear you and we are truly sorry and humbled by your interest to be part of our growing community. Slots for the current batch of invitations have been filled. Invitations will be sent to eligible individuals when new slots open up. Truth be told, we can’t wait for you to be part of our banking glow-up. Stay tuned! , modified: 2023-04-25T01:35:24Z",1,"Not for everyone (even if we want) : Have been waiting for a slot for the account since GXS started and have been waiting until now (about 7 months) and still nothing, whenever anyone ask for why, the excuses given are still mostly the same with no actual changes or improvements (people can’t help but compare to the other bank “trust bank Singapore” that also launched just 1 day before GXS’s launch and believe trust bank Singapore to be better since trust bank can allow people to register without waiting for this long)",0
205," Welcome aboard @alexfonghere! 🚀 We are thrilled to know that you love our apps interface! We work hard to meet expectations like yours and we’re happy to hear we hit the mark for you. 🤩, modified: 2023-01-07T01:01:16Z",5,"A great banking app experience that serves it’s purpose : Great app, with awesome design and theme unlike traditional banking institutions. Provide high interest rates and suitable for targeted group of audience. Ratings were probably dragged down by reviewers who rated 1/5 because they couldn’t sign up - as GXS bank is rolling out to users by batches.

Overall a good experience! :)",0
206," Thank you for your valuable feedback! Were actively working on adding the payee feature to our app. If you ever encounter any issues in the meantime, please dont hesitate to reach out to our 24/7 hotline, and well be happy to assist you. Your input is much appreciated!, modified: 2023-09-14T02:01:47Z",1,"Very unstable banking app : Hit with fast reversal when transferring money to this gxs bank, first time in my life a fast transfer didn’t succeed. Googled for recent reviews and social media on this gxs bank. Mostly bad reviews and issues. I don’t need developer reply to my review here as I’m absolutely not going to touch this bank anymore. And biggest joke of all, you don’t even have the most basic banking feature to save payee details. What kind of app development staff and quality is that???",0
207," Hey there, thank you so much for your kind words about our app. We put a lot of effort into the app to make it intuitive and easy to navigate, so we are glad to hear that it has paid off. We are constantly working on new and exciting features, and we cant wait for you to try them out in the future. 😊, modified: 2022-12-12T01:39:46Z",5,"Good features : Very easy to use, user friendly and intuitive. Nice design of the app making it easier to navigate the app. Saving pocket is an interesting and useful feature. can’t wait to explore and use more of the app",0
208," Hi there! We are in early access phase and invitations are sent out in batches. Look out for an email from us.🙏, modified: 2022-09-09T13:50:08Z",1,"Digital Bank? 🤣🤣🤣🤣🤣 : What a joke! Nothing happens after you input your phone number - nothing! 

It’ll be so much, and I don’t exaggerate when I say this, so much faster for you to travel from one end of Singapore to the other, to open an account at a traditional bank branch. 

One piece of advice to the management of GXS Bank - do not launch if you are not ready! You are a joke. Please look at Trust Bank. Simple and easy to use. Account opened in like, 2 mins?",0
209," Hi there! Thank you for taking your first step to digital banking with us. Your review means the world to us. 💜 We have been busy working on new and exciting stuff, and we cant wait for you to try them out in the future. 🚀, modified: 2023-11-11T17:31:31Z",5,Great deposit benefits : Honestly is my first time depositing digital banking A lot worry . But at the end is a great experience. I believe a lot of us wanted is the return . And they offer very high interest. Will continue to deposit Thank you,0
210," Thanks for sharing with us your thoughts on this, KiloBites. We greatly appreciate your feedback and look forward to continuously improving our GXS app. Rest assured that great things are in the works! 🚀, modified: 2023-08-13T00:51:52Z",1,"No Payee Saving Makes Trnx Tedious : My biggest frustration is that I can’t save payees when sending money.  Everytime I need to transfer funds, I have to select a transfer type and fully type out the account number, payee’s name, and select the bank.

This is incredibly tedious esp for accounts I pay frequently. Without this “fundamental” feature a payee list, it’s easy to make mistakes entering long account number, name and bank name each time.",0
211," Hi @Morrrrraaaa, were thrilled to to know that you like our app and our promos! 🥳 We have been busy working on new and exciting stuff, and we cant wait for you to try them out in the future. 🚀Cheers to 2024! 🌈, modified: 2024-01-13T01:42:17Z",5,"Best bank! : Best bank to save up and best bank in receiving cash back! And also, so happy to be able to win a lucky draw from here! Hopefully things get much better in this year!",0
212," Thanks for the awesome review! Were thrilled that you find our app highly responsive, with a simple yet comprehensive interface. Were here to make your banking experience top-notch. Enjoy the app! 😄  , modified: 2023-06-07T01:14:22Z",5,"Simple, easy to understand interface : App is very responsive, and interface is simple but comprehensive. Transaction speeds are very quick too.",0
213," Hey therel! Happy to hear you like our app! Were just as excited! 🤩 Thank you so much for your 5 star review! 🙏, modified: 2022-11-01T07:49:22Z",5,Easy to use : Despite a lengthy onboarding but my account got approved promptly. I like that the app is snappy and easy to use. Waiting for credit card so that I can switch to GXS as my main account.,0
214," Hey MikeEkimC! Were absolutely thrilled that you fell head over heels for our app. 💜 Thank you for your 5-star review, it made our day! 🤩, modified: 2023-11-18T07:46:17Z",5,"GSX - the bank of future! : GXS offers seamless, fast and super effective digital services. 
Never ever I had such experience with other banks. GXS definitely is the bank of future! 
You must try it to believe!",0
215," Hi Mani! Thank you for your 5 stars review. 💜 We are thrilled to know that you like the app security and our user interface! 🤩 We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.🚀, modified: 2022-10-07T07:22:38Z",5,"Best Digital Banking : I recently used this digital bank, which has many security features and user friendly UI.
I 100% recommend to used this App.",0
216," Hey there! Thank you for your 5 stars review. 🤩 We are thrilled to know that you love our apps interface and were constantly working to make it even better! 💜 , modified: 2022-12-17T08:40:26Z",5,"User Friendly : The app’s interface is really user friendly and sleek! It loads very fast as well, can’t wait to start using this digital bank app :)",0
217," Hi there, thank you for your valuable feedback. 🙏 We appreciate you taking the time to share your thoughts with us and have captured this as part of our continuous improvement process. 💜\r, modified: 2023-09-13T17:19:13Z",1,One year yet not much improvement : Already 1 year but basic functions like adding payee is not in the app. It’s so troublesome to transfer funds to different bank accounts! With your latest move to reduce interest to 2.68% has made me feels like maribank is better even with slightly lower interest rate because they knows what basic functions to include in the app,0
218," Hey there! Were sorry to hear about your experience. 🙏 We understand the importance of this matter and are committed to make things right for you. Could you please get in touch with us via Live Chat or call, at (+65) 3105 2055, so that we can assist you further? We’d be happy to make things right for you! 💜, modified: 2024-02-25T17:57:31Z",1,"Bad experience of this GXS app. Think again if you want to go cashless with this app! : Extremely disappointed with the GXS app. Despite consistent use on the same device for a long time, it suddenly stopped allowing money transfers with explanation device changed. This lack of clarity and abrupt disruption in service is unacceptable. Terrible user experience, deserves only 1 star.",0
219," Hi Adrian! Were thrilled that youre enjoying our app features. Its heartening to know our services have been beneficial and positive for you. Were hopeful that our future reward features will continue to satisfy and excite you! 🚀💜, modified: 2023-12-08T17:44:06Z",5,"More rewards : Wish more people can download and use, and more rewards can be given.",0
220," Thanks for the five star review, Vicky! It means the world to us and to our entire team! 😀, modified: 2023-03-18T00:55:14Z",5,Awesome app : Very smooth to use and attractive app. Simple features and excited to see more advanced banking features in future.,0
221," Hi ChefDugi, we are very heartened to see our services have been beneficial and positive for you. We hope our features in the future will continue to serve and delight you constantly., modified: 2023-12-07T17:47:50Z",5,Great : Everything is perfect. Ease of use. Fast transfer for quick cash. Repayment is easy and low interest. This app is a life saver literally :),0
222," Hey there! We are happy that you like our app! You have made our day, and we are definitely striving to improve our products to serve you better! 🚀💜, modified: 2023-11-13T05:18:58Z",5,Smooth and easy to use : Can try for saving money !! My money said they liked there,0
223," Hi derrick. Thank you for the 5 star review! ⭐ This helps to motivate all of us at GXS to scale even greater heights. Were delighted to learn that you love the app as much as we do. Happy banking with GXS! 😉🚀, modified: 2023-09-26T09:27:11Z",5,Ease of use and practical : Easy drawing and repayment option. Flexible of choice at any time with any needs. Like it and good tool for emergency money with flexible borrowing and repayment.,0
224," Hey there! Were thrilled to hear that our app has hit all the right notes. We love the flexible repayments and interest savings too. 🤩 Thank you so much for your support and 5-star review! 🎉, modified: 2023-11-16T07:23:53Z",5,"💯 Recommend : Ease of use.
Pay anytime before due is possible. 
Emergency moolahs are here without breaking your bank!",0
225," Happy to hear that you have been enjoying the GXS experience, Koko! Have an awesome day! 💜 , modified: 2022-12-09T07:02:54Z",5,Exciting bank : J got recommended to try out this app by a fren and i love it! It’s convenient and easy to use and i can see myself committing to this in the long term! :),0
226," We are glad you have been enjoying the GXS experience on our app so far. Keep using the app, and let us know if you have other suggestions or feedback. Have a great week ahead!, modified: 2022-12-09T07:07:01Z",5,awesome app : the app is easy to navigate and the UI/UX is excellent. I love the saving pockets and the good interest rates! definitely worth the wait and has a lot of potential 👍🏼,0
227," Hi tloh001, we are happy that you like our awesome app interface and Saving Pockets feature! 🤩We strive to give our customers the best app experience and attractive interest rates.🚀Thank you very much for your 5 stars review! Your support and voice are very important to us. Keep using our app. 💜 , modified: 2022-12-10T08:01:46Z",5,Exceeded expectation : My fav feature is the saving pockets can't wait to build my savings with the good interest rates. amazing user interface!,0
228," Hi there! Were inviting customers progressively to make sure that everything is well built for the best experience possible. Thanks for your patience! 🙏 , modified: 2022-09-08T01:14:40Z",2,Unable to use even though news mentioned go live date : Downloaded the app but doesnt seem to be able to sign up and got asked to stay tune after giving my phone number. I cant see the screens as presented in the app store. What is going on?,0
229,,5,User experience : Very easy to navigate and super fluid UI. Lovely bank and recommended everyone to join with ease of mind.,0
230," Hi there! We aim to create a better banking experience for everyone. A win for us is when banking is a win for you. We cant wait to get everyone onboard our revolution! 🚀, modified: 2022-10-06T01:55:09Z",5,Banking made easy : No more long waits and tons of paperwork to open a bank account. Looking forward to how GXS can generate a stronger value proposition for consumers.,0
231," Aw, thanks for the kind words! We’re glad that our app is user-friendly. 💜 If you need any help or have any feedback, feel free to reach out to us. We’ll be more than happy to hear from you!, modified: 2024-02-12T04:08:12Z",5,Smart & easy to use online bank : This app is easy to use.,0
232," Were thrilled to hear that our app has hit all the right notes. 💜 Thank you for the 5-star review! , modified: 2024-02-19T01:51:26Z",5,Reminder n easy to use : User friendly,0
233," Thank you for taking the time to leave us this wonderful review, GW1188! Were delighted to hear that it is easy for you to use our GXS account on your Grab App! 😄, modified: 2023-12-07T17:50:35Z",5,GXS bank mobile apps : Like to use GXS apps that is link to Grabs apps for easy to transfer money from saving to topup Grabs account.,0
234,,5,Easy navigation : Best digital bank in my opinion I prefer this over its competitors:),0
235," Hey Tyc!👋 Thank you so much for your review! Were thrilled to hear that our app helps you witness growth every day. Setting goals and watching them progress is an incredible feeling, and were glad our app supports you in achieving that. Heres to continued growth and success! 🌱🚀, modified: 2023-06-07T00:59:50Z",5,"Ease of use : Well if u like to see growth everyday, this app gives u that. Set goals and see it grow towards it!",0
236," Thank you! Were delighted that you find our app highly convenient, easy to understand, and user-friendly. We appreciate your support and hope you continue to enjoy the seamless experience. 🙏 , modified: 2023-06-07T08:31:05Z",5,Ease of use : Very convenient and easy to understand and use,0
237," Hi there! Were inviting customers progressively to make sure that everything is well built for the best experience possible. In the meantime, you can register your interest to open an account upon download. Well let you know when we’re ready for you! 🙏, modified: 2022-09-16T01:26:55Z",1,"Not Ready : Why put an app on the store when you are not ready. All about the app now is collecting info. If you have heard yet, please use testflight for ur ‘launch’ aka beta testing 🤦🏻

Update: doesn’t bode well… even response is so robotic n mundane. Might as well not respond and spend the time to build the app for a proper launch",0
238," Hey, Sheerliyn! We’re sorry to make you feel that way. Rest assured that our 3.48% interest rate still applies to our Saving Pockets. However, as our slots for our Savings Account are currently full, do sign up on the GXS app for early access. 🙏, modified: 2023-07-27T02:55:34Z",1,"Misleading Advertising : Noticed the news writing they offer 3.48% interest rate. After downloading the apps and trying to sign up, end up asked me to fill up my particular to  receive latest buzz updates.! 

If the bank isn’t planing to offer, please stop advertising that. Thanks!",0
239," Hey Ahfei94! Thank you for giving our app your recognition! From 17 August 2023, were increasing the interest rate for the Main Account from 0.08% to 2.38% p.a. and the Saving Pockets interest rate will be adjusted to 2.68% p.a. Thank you for banking with GXS! 😊, modified: 2023-08-13T01:16:18Z",3,Interest rate dropped : It’s all good! Until recently a dropped of 0.8% interest rate in such a short notice and changes,0
240," Hi Desiphone, we have since resolved the App issue. We would like to assure you that the App is now working fine and we apologize for the inconvenience caused. Rest assured that there will not be any impact to your account. In the meantime, we may need you to log in again through your SingPass to access the App. A gentle reminder to update your App to the latest version too. Once again, we thank you for your understanding and support.🙏😊, modified: 2023-01-21T07:57:54Z",2,Problems logging on to app : Having problems logging onto the app. It says my phone cannot be used for GXS as it has been modified in someway. I just logged in this morning with the same phone with no problems. Please advice.,0
241," Hey there, so happy to know that you like our app! Well keep working hard to make the app even easier to use! Good luck in achieving your Saving Pockets goal too, were all rooting for you! 🤩🚀, modified: 2022-09-13T15:04:50Z",5,"Love it! : Love the interface and saving pocket is so unique, can’t wait to meet my deposit goal!",0
242," Hi there! Thank you for your 5 stars review.💜 Were delighted to learn that you find our apps user interface easy and intuitive to use! We strives to exceed your expectations, and were pleased to have met your needs.🤩, modified: 2024-02-26T18:04:42Z",5,Easy to use with friendly UIUX : The app is easy to navigate and optimise for people of all ages.,0
243," Were over the moon to receive your 5-star review! 😍 Thank you for your continued support and we look forward to providing more exciting products and features to you soon! 🚀, modified: 2023-11-17T03:10:14Z",5,"Ease of use : Brilliant app design, fast transactions, excellent rates. Keep up the good work! What more can I say?",0
244," Woohoo, we’re glad to hear that you love our app! Thanks for sharing the love, SgPlayboy! 😉💜, modified: 2023-06-13T01:22:46Z",5,Definition of less is more : Try it and you will love it.,0
245," Hey there! Were glad to hear that youre enjoying saving pockets feature! 🤩 Thanks for taking the time to leave a feedback - we strive to serve you better! 🙏 💜, modified: 2023-05-13T08:14:26Z",5,"Great UX! : The app is super easy to use, and I love the saving pockets that allow me to easily set money aside for my goals!",0
246," Hi mdyyeo, we are very grateful and glad that you are enjoying our features. We look forward to delighting you more with our new features in the future., modified: 2023-12-07T17:41:44Z",5,"GXS is great e-bank : There are a number of things that are great about GXS. 
1. Ease of use
2. daily interest 
3. No hassle with minimum sum",0
247," Hi Azubu! Thanks for sharing your thoughts with us! Were always striving to improve, and your feedback means a lot! We recognise that our customers use their GXS Savings Account for Grab and Singtel Dash transactions to earn 1.2x reward points from eligible transactions. As these funds are debited through the Main Account of the GXS Savings Account, we have received feedback that our customers would like to earn higher interest while still enjoying the benefits of our ecosystem rewards programme. So from 17th August 2023, were increasing the interest rates for our GXS Main Account from 0.08% to 2.38% p.a., and the Saving Pockets will be adjusted to 2.68% p.a., modified: 2023-08-15T01:44:00Z",1,"Reputation Is Key : It doesn’t make the company look reputable when they offer a high interest rate only to drop it immediately after gaining enough users. It feels like a bait, which it is. They should acquire deposits through more honest and transparent methods.",0
248," Thanks so much for your wonderful review, Dtthian! 🙏💜 Were thrilled to hear that our app is easy to use and provides a seamless login experience. Weve put a lot of effort into making the instructions clear and user-friendly, so its fantastic to know that you find them clean and easy to follow., modified: 2023-06-07T01:07:04Z",5,First time using! : Easy to use and log in! Very clean instruction.,0
249," \r\nWow, thanks so much for the fantastic 5-star review!✨ Its amazing to know that you had a great time using our app. If you ever need any assistance or have more feedback to share, feel free to reach out. Keep enjoying the greatness and simplicity of our app!  😊, modified: 2023-06-07T00:48:26Z",5,"Very good application : Simple, straightforward to use with no bugs. Great experience",0
250," Hey there! Were glad to know you love our app! Your support and voice are very important to us. Keep using our app.💜 , modified: 2022-10-05T02:00:26Z",5,"Great app with very appealing colours! : Really like the details in the app, will definitely use it daily!",0
251," Thanks so much for your fantastic 5-star review! Were thrilled to hear that youre loving the Saving Pockets feature as well. We share your excitement for the day when we can assist you in saving even more with us. Rest assured, as soon as the cap is lifted, well make sure to keep you informed. 💜🚀 , modified: 2023-06-01T01:20:24Z",5,"Nice App : Like the app design, especially the pockets for savings. Just waiting for the $5000 limit to be lifted.",0
252," Hi there, thank you for staying with us thus far! 🙏 One common reason could be because youre not physically located in Singapore at the time of application. Likewise, you’ll need to disable your VPN before submitting your application. Any other questions, feel free to to contact our hotline at (+65) 3105 2055. We are here for you, 24/7! 💜, modified: 2023-07-20T17:29:19Z",1,"Can’t open an account : Received email invite from GXS saying that I am now able to open an account. After finishing the entire onboarding application I am told they are unable to proceed with my application saying “It’s not you, it’s us”. 

Ummmm okayyyy",0
253," Happy to hear that you have been enjoying the GXS experience so far! Have an awesome week ahead! 🙏, modified: 2022-12-12T01:42:12Z",5,Good Features! : Easy to use and nice UIUX. Saving pockets is an interesting and useful feature,0
254," Yay! Glad to hear that you’re enjoying our app, Kok Ong! Feel free to get in touch with us if you need any help or have any feedback. 😉, modified: 2023-11-11T17:26:46Z",5,Application : Simple and easy,0
255," Hi @azejnn Merry Christmas to you. Thank you for your feedback and we are sorry to hear that you were not able to launch the survey. We are unable to share account details over a public platform, please contact us at our hotline so we can attend to you accordingly., modified: 2023-12-25T18:05:40Z",1,"Unable to Launch Survey : Is GXS looking into this issue? Going to be a week, still something is wrong. What happened to iOS user testing before roll out? It’s baffling the slow service recovery GXS is impressing upon iOS users.",0
256," Thank you very much for the five stars review! It means a lot to us. Have a great week ahead!, modified: 2022-12-09T07:07:47Z",5,Great app to use : Intuitive and easy to set up,0
257," Hi Ryan! Thank you for your 5 stars review. 💜We are thrilled to know that you like the app easy and user-friendly user interface! We work hard to meet expectations like yours, and we’re happy to hear we hit the mark for you.🙏🤩\r\n, modified: 2023-12-13T01:44:58Z",5,Loans : Friendly use apps,0
258," Hi there! Were always striving to improve. 🙏 We recognise that our customers use GXS for Grab and Singtel Dash transactions to earn 1.2x reward points from eligible transactions, so from 17 August 2023, were increasing the interest rates for our GXS Main Account from 0.08% to 2.38% p.a. and the Saving Pockets will be adjusted to 2.68% p.a. 💜, modified: 2023-08-10T00:58:52Z",1,What a waste of time : GXS touted a 3.48% interest in their savings pocket only to change the interest to 2.68% within a short period of only a month. A bank is only as good as it’s promises and this bank just lost it all. Will never use GXS again.,0
259," Thats a good suggestion Dian1117! Currently, we do not have the option to toggle to a different theme in-app. We have forwarded your thoughts to the team as feedback for further consideration. 🙏 Thank you for your support! 💜, modified: 2022-12-24T08:05:57Z",3,"Not like the theme : Personally don’t like the theme, anyway allow user to change more brighter one?
Dark color me uncomfortable 😞",0
260," Hey Nigel! Thanks for the 5-star review! Our app is all about being user-friendly. Enjoy using it! 💜🚀 , modified: 2023-06-07T01:19:02Z",5,Ease of use : Very friendly app,0
261," Hi Sanadece, thank you for your kind words. This review means the world to us, it made our day! 💜🤞 , modified: 2023-11-30T17:34:51Z",5,Helpful : This is very good. Really very helpful. I Will keep in touch with them. 👌🏽😍,0
262," Hey Calvin! Thanks so much for the amazing 5-star review! It truly means a lot to us and our entire team. We will continue to work hard to ensure that your experience with us remains excellent. Happy banking with GXS! , modified: 2023-09-28T03:16:08Z",5,Great : Such a great service compared to Bank,0
263," Thanks for your review, Hayley! Were glad to hear that you find our app easy to use. We strive to provide competitive rates and help you maximize your savings. If you have any further suggestions or questions, feel free to reach out. Were here to assist you!💜🚀, modified: 2023-06-07T00:50:37Z",5,Great app with high savings : Easy to use with high interest rate,0
264," Thanks for your support! Were delighted to know that our app has made banking easy for you. 😄   , modified: 2023-06-07T01:10:36Z",5,Good banking app : Makes banking easy to use,0
265," Hey Shirley, it is wonderful to know that you like our app! It means the world to us and to our entire team! 😀 , modified: 2022-09-06T14:37:05Z",5,Smooth interaction and easy to use ! : Nice design!,0
266," Yipee! Our interest rates are indeed competitive, huh? 😉 Thanks for your stars, rcpsgp! This keeps us going, but feel free to let us know if you have any feedback too! , modified: 2023-11-11T17:31:09Z",5,Great App : You get the highest saving interest rate on the market,0
267," Hi there. Were sorry to hear about your experience. Thank you for your feedback. 💜 Were continuously working hard on improving our product offerings and also adding more features to our app to make your experience better.🙏\r\n, modified: 2024-02-23T09:45:34Z",1,Cheater! : Show allow to increase amount not reduce and stay that way. For a first timer I didn’t know that once I reduce amt I cannot get back the original amount that is given to me.,0
268," Hi sgchacha! We are happy that you like our awesome app features! 🤩We strive to give our customers the best app experience.🚀Thank you for your 5-star review! Your support and feedback are invaluable to us. Keep using our app. 💜, modified: 2023-12-10T21:37:08Z",5,Best internet bank ever : Guys u guy to try this out,0
269," Hey there! We currently use Singpass to extract information so that applications are a breeze.\n\n\r\n\r\nSo we’d recommend our customers to ensure that their personal information is accurate and up to date by accessing their Singpass MyInfo. Should there be any changes, you may do so via the Singpass app. Hope this clarifies! 🙏, modified: 2023-08-15T17:34:26Z",2,"Information extracted from SingPass is incorrect. : Income extracted from SingPass is incorrect.
Information in SingPass is correct
Which means the process of extracting information needs to be updated.",0
270," \r\nThank you for your thoughts and were sorry for the wait, Jyotkumar 🙏 At the moment, were sending out invites in phases so that our users can have the best experience possible with us. We will reach out when we are ready for you so stay tuned to your email inbox for updates! , modified: 2023-01-26T01:20:02Z",1,Not even able to try this app : This should be removed from App Store. A bank that is not even able to accept a customer sign up. What a joke from Grab and  Singtel.,0
271," Were thrilled to hear that our app has hit all the right notes! 🎉 Were glad that you love our GXS FlexiLoan features too! 💜, modified: 2023-11-04T01:57:05Z",5,Good app good bank : Loan disbursement was immediate. App is simple to use. Repayments just as easy.,0
272," Hey there! We are happy that you like our app! Your review made our day, and we are definitely striving to improve our products to serve you better! 🚀💜, modified: 2023-10-09T17:16:10Z",5,User friendly : Best and fast loan approval,0
273," Hi there! We’re sorry to make you feel that way, Wu Ming. Could you please get in touch with us at  (+65) 3105 2055? Alternatively, you may also write in to our email at help@gxs.com.sg with your contact details, so that we can take a closer look into this. 🙏 , modified: 2023-07-23T09:19:15Z",1,"Disappointed Apps : Extremely disappointed after downloading the app, waited and waited for it to open and still told to wait and wait and wait and wait and wait……………..no ends!!!!!👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎",0
274," Were sorry to hear about your experience while trying to access the GXS app. 🙏 We understand the importance of this matter and are committed to make things right for you. Please drop us an email at help@gxs.com.sg or give us a ring at (+65) 3105 2055. Were here to help! 💜, modified: 2023-11-17T03:38:40Z",1,"Glitch? : I cannot open the app at all, even after updates it keeps telling something went wrong.",0
275," Hi there! We’re sorry to make you feel that way! 🙏We appreciate your valuable feedback and rest assured that it is an essential part of our continuous improvement process. 💜🚀, modified: 2023-09-20T09:30:31Z",1,gloomy UI and poor interest rate : increase so much just to make us open account then now int rate worst than t bills. UI also so dark. not much use case except earn risk free rate. grab is expensive,0
